疑う うたがう 의심하다
健康　けんこう 건강
自由　じゆう 자유
大量　たいりょう 대량
涙　なみだ 눈물
法律　ほうりつ 법률
内側　うちがわ 안쪽
追う　おう 좇다,뒤따르다
降りる　おりる 내리다
暮らす　くらす 살다,생활하다,지내다
血液　けつえき 혈액
身長　しんちょう 신장,키
正常　せいじょう 정상
成績　せいせき 성적
専門家　せんもんか 전문가
物語　ものがたり 이야기
あくび　あくび 하품
うっかり　うっかり 깜빡
あたがいに　あたがいに 서로
可能　かのう 가능
感覚　かんかく 감각
期限　きげん 기한
きちんと　きちんと 깔끔히
効果的　こうかてき 효과적
差　さ 차,차이
制限　せいげん 제한
だるい　だるい 나른하다
付き合う　つきあう 사귀다
テーマ　テーマ 테마
動作　どうさ 동작
なめる　なめる 핥다
番　ばん 차례
ヒント　ヒント 힌트
振る　ふる 흔들다
平気だ　へいきだ 괜찮다
めんどうくさい　めんどうくさい 귀찮다
追い越す　おいこす 앞지르다,추월하다
渇く　かわく 마르다
希望　きぼう 희망
キャンセル　キャンセル 취소
偶然　ぐうぜん 우연히
悔しい　くやしい 분하다
資源　しげん 자원
しみ　しみ 얼룩
親戚　しんせき 친척
ずきずき　ずきずき 욱신욱신
たたく 두드리다
登場　とうじょう 등장
どきどき　どきどき 두근두근
話し合う　はなしあう 의논하다
ぴったり　ぴったり 딱
防ぐ　ふせぐ 막다
べつべつ　べつべつ 따로따로
ほえる　ほえる 짖다
干す　ほす 말리다
迷う　まよう 망설이다
むく　むく 벗기다
レシピ　レシピ 레시피,조리법
当たる　あたる 맞다
意志　いし 의지
延期　えんき 연기
おつかれさま　おつかれさま 수고하셨습니다
かれる　かれる 시들다
訓練　くんれん 훈련
効果　こうか 효과
このあいだ　このあいだ 일전,요전
材料　ざいりょう 재료
者　しゃ 자
渋滞　じゅうたい 정체
セット　セット 세트,조절
チャレンジ　チャレンジ 챌린지,도전
土地　とち 토지,땅
なるべく　なるべく 되도록
ばらばら　ばらばら 제각각,제각기
ぺらぺら　ぺらぺら 줄줄,술술
報告　ほうこく 보고
身につける　みにつける 익히다
無駄　むだ 낭비,헛됨
もったいない　もったいない 아깝다
翌日　よくじつ 익일,다음날
囲む　かこむ 둘러싸다,에워싸다
配達　はいたつ 배달
比較　ひかく 비교
引き受ける　ひきうける 맡다
文句　もんく 불만,불평
ユーモア　ユーモア 유머
うろうろ　うろうろ 허둥지둥
間隔　かんかく 간격
芸術　げいじゅつ 예술
さっそく　さっそく 즉시
事情　じじょう 사정
親しい　したしい 친하다
しまう　しまう 치우다
締め切り　しめきり 마감
就職　しゅうしょく 취직
集中　しゅうちゅう 집중
冗談　じょうだん 농담
清潔　せいけつ 청결
積極的　せっきょくてき 적극적
通訳　つうやく 통역
デザイン　デザイン 디자인
どきどき　どきどき 두근두근
とける　とける 녹다
突然　とつぜん 돌연
取り消す　とりけす 취소하다
ノック　ノック 노크
あふれる　あふれる 넘치다
意外に　いがいに 의외로
エネルギー　エネルギー 에너지
重ねる　かさねる 쌓다,거듭하다
乾燥　かんそう 건조
期待　きたい 기대
きつい　きつい 끼다
経営　けいえい 경영
原料　げんりょう 원료
しっかり　しっかり 꽉,단단히
自動的に　じどうてきに 자동적으로
しぼる　しぼる 짜다
バケツ　バケツ 양동이
発展　はってん 발전
交ざる　まざる 섞이다
待ち合わせる　まちあわせる 만나기로하다
まよう　まよう 헤메다
目標　もくひょう 목표
応募　おうぼ 응모
落ち着く　おちつく 가라앉다,침착하다
確実だ　かくじつだ 확실하다
完成　かんせい 완성
くるしい　くるしい 고통스럽다,난처하다
申請　しんせい 신청
ずいぶん　ずいぶん 꽤,상당히
正常だ　せいじょうだ 정상이다
底　そこ 바닥,속
そっくり　そっくり 꼭닮음
そっと　そっと 살짝
登場　とうじょう 등장
ふく　ふく 닦다
平均　へいきん 평균
マナー　マナー 매너
目的　もくてき 목적
床　ゆか 마루
呼び掛ける　よびかける 호소하다
列　れつ 열,행렬
アドバイス　アドバイス 충고
イメージ　イメージ 이미지
うまい　うまい 맛있다,솜씨가좋다
うわさ　うわさ 소문
おしい　おしい 아깝다
がらがら　がらがら 텅텅빈모양
傷　きず 상처,흠
自信　じしん 자신
しずむ　しずむ 가라앉다,지다
姿勢　しせい 자세
たしかめる　たしかめる 확인하다
頼る　たよる 의지하다
特長　とくちょう 특별한장점
内緒　ないしょ 비밀,은밀
農業　のうぎょう 농업
許す　ゆるす 용서하다,허락하다
流行している　りゅうこうしている 유행하고있다
編む　あむ 엮다,뜨다
栄養　えいよう 영양
演奏　えんそう 연주
香り　かおり 향기
隠す　かくす 감추다,숨기다
観察　かんさつ 관찰
興味　きょうみ 흥미
盛んだ　さかんだ 번창하다
順番　じゅんばん 순번,차례
代表的だ　だいひょうてきだ 대표적이다
戦う　たたかう 싸우다,전투하다
発表　はっぴょう 발표
ぴったり　ぴったり 딱들어맞음
防ぐ　ふせぐ 방어하다,막다
守る　まもる 지키다
破れる　やぶれる 찢어지다,깨지다
リサイクル　リサイクル 리사이클,재활용
料金　りょうきん 요금
割合　わりあい 비율
あきる　あきる 질리다,싫증나다
穴　あな 구멍
印象　いんしょう 인상
お祝い　おいわい 축하,축하선물
我慢　がまん 참음
間隔　かんかく 간격
記念　きねん 기념
くせ　くせ 버릇
合計　ごうけい 합계
覚める　さめる 깨다,눈이뜨이다
当日　とうじつ 당일
パンフレット　パンフレット 팸플릿,소책자
ぶつける　ぶつける 부딪치다,맞부딪치다
ふらふら　ふらふら 비틀비틀
方法　ほうほう 방법
目標　もくひょう 목표
料　りょう ~료
分ける　わける 나누다,분배하다
うわさ　うわさ 소문
追いつく　おいつく 따라잡다
おかしい　おかしい 이상하다
おぼれる　おぼれる 빠지다
主に　おもに 주로
かわく　かわく 마르다
交換　こうかん 교환
材料　ざいりょう 재료
自慢　じまん 자랑
渋滞　じゅうたい 정체,밀림
たたむ　たたむ 접다,개다
たつ　たつ 지나다
調子　ちょうし 상태,컨디션
閉じる　とじる 닫다,감다
突然　とつぜん 돌연,갑자기
なるべく　なるべく 가능한한,되도록
引き受ける　ひきうける 떠맡다
不安　ふあん 불안
物価　ぶっか 물가
別々　べつべつ 따로따로,각각
ゆるい　ゆるい 헐렁하다,느슨하다
リサイクル　リサイクル 리사이클,재활용
意志　いし 의지
応援　おうえん 응원
起きる　おきる 기상하다,발생하다
外食　がいしょく 외식
がっかり　がっかり 실망,낙담하는모양
片方　かたほう 한쪽,한짝
カバー　カバー 덮개
枯れる　かれる 마르다,시들다
期待　きたい 기대
差　さ ~차
しつこう　しつこう 끈질기다
自動的に　じどうてきに 자동적으로
代金　だいきん 대금
流れ　ながれ 흐름
なつかしい　なつかしい 그립다
延ばす　のばす 연기하다,연장하다
むく　むく 벗기다,까다
別れる　わかれる 헤어지다,작별하다
合わせる　あわせる 맞추다,합치다
インタビュー　インタビュー 인터뷰
影響　えいきょう 영향
カーブ　カーブ 커브
かかる　かかる 걸리다
からから　からから 바싹마른모양
さっそく　さっそく 즉시
産　さん ~산
しっかり　しっかり 꽉,단단히
主張　しゅちょう 주장
出張　しゅっちょう 출장
清潔だ　せいけつだ 청결하다
整理　せいり 정리
前後　ぜんご 전후
ためる　ためる 모으다
流れる　ながれる 흐르다
複雑だ　ふくざつだ 복잡하다
不満　ふまん 불만
ぶらぶら　ぶらぶら 어슬렁어슬렁,빈둥빈둥
申込書　もうしこみしょ 신청서
両替　りょうがえ 환전
扱う　あつかう 취급하다
あわ　あわ 거품
うっかり　うっかり 깜박,멍청히
カタログ　カタログ 카탈로그
感じ　かんじ 느낌
感動　かんどう 감동
希望　きぼう 희망
最新　さいしん 최신
しばらく　しばらく 한동안,오랫동안
しばる　しばる 묶다
しまう　しまう 안에넣다,치우다
全　ぜん 전~
体力　たいりょく 체력
ノック　ノック 노크
早めに　はやめに 빨리,일찌감치
半日　はんにち 반일,한나절
迷う　まよう 망설이다,헤메다
向き　むき ~향
家賃　やちん 집세
りっぱだ　りっぱだ 휼륭하다
案　あん
アイデア　アイデア
暗記する　あんきする
覚える　おぼえる
欠点　けってん
よくないところ　よくないところ
サイズ　サイズ
大きさ　おおきさ
だまっていた　だまっていた
話さなかった　はなさなかった
得意だ　とくいだ
とても上手だ　とてもじょうずだ
どならないで　どならないで
大声で怒らないで　おおごえでおこらないで
配達する　はいたつする
届ける　とどける
避難する　ひなんする
にげる　にげる
べすとだ　べすとだ
最もよい　もっともよい
あたえる　あたえる
あげる　あげる
おい　おい
姉の息子　あねのむすこ
グラウンド　グラウンド
運動場　うんどうじょう
詳しい　くわしい
細かい　こまかい
指定の　していの
決められた　きめられた
ずいぶん　ずいぶん
非常に　ひじょうに
スケジュール　スケジュール
予定　よてい
短気だ　たんきだ
すぐ怒る　すぐおこる
不安　ふあん
心配　しんぱい
ふだん　ふだん
いつも　いつも
おしまい　おしまい
おわり　おわり
学校をサボってしまった　がっこうをサボってしまった
遊びたくて学校を休んでしまった　あそびたくてがっこうをやすんでしまった
機会　きかい
チャンス　チャンス
きつい　きつい
大変だ　たいへんだ
さまざまな　さまざまな
いろいろな　いろいろな
絶対に　ぜったいに
かならず　かならず
退屈だ　たいくつだ
つまらない　つまらない
納得した　なっとくした
とてもよく分かった　とてもよくわかった
ふれる　ふれる
触る　さわる
報告する　ほうこくする
知らせる　しらせる
おこづかい　おこづかい
お金　おかね
回収する　かいしゅうする
あつめる　あつめる
価格　かかく
値段　ねだん
めい　めい
兄弟の娘　きょうだいのむすめ
らくだ　らくだ
簡単だ　かんたんだ
おかしな　おかしな
変な　へんな
お腹がぺこぺこだ　おなかがぺこぺこだ
お腹がすいている　おなかがすいている
感謝　かんしゃ
お礼　おれい
キッチン　キッチン
台所　だいどころ
欠点　けってん
よくないところ　よくないところ
済ませる　すませる
終わらせる　おわらせる
整理する　せいりする
片づける　かたづける
そのまま　そのまま
何も変えないで　なにもかえないで
黙って　だまって
何も話さないで　なにもはなさないで
駆けてきた　かけてきた
走ってきた　はしってきた
指導する　しどうする
教える　おしえる
しゃべらないで　しゃべらないで
話さないで　はなさないで
手段　しゅだん
やり方　やりかた
退屈だ　たいくつだ
つまらない　つまらない
多少　たしょう
ちょっと　ちょっと
団体で　だんたいで
グルーブで　グルーブで
トレーニング　トレーニング
練習　れんしゅう
ぺらぺらです　ぺらぺらです
上手に話せます　じょうずにはなせます
ようやく　ようやく
やっと　やっと
あらゆる　あらゆる
すべての　すべての
逆　ぎゃく
反対　はんたい
協力する　きょうりょくする
手伝う　てつだう
信じている　しんじている
本当だと思っている　ほんようだとおもっている
絶対　ぜったい
必ず　かならず
どなられた　どなられた
大声で怒られた　おおごえでおこられた
まぶしい　まぶしい
明るすぎる　あかるすぎる
約　やく
だいたい　だいたい
あまりました　あまりました
多すぎて残りました　おおすぎてのこりました
延期になった　えんきになった
後の別の日にやることになった　あとのべつのひにやることになった
横断禁止です　おうだんきんしです
渡ってはいけません　わたってはいけません
かがやく　かがやく
光る　ひかる
がっかりした　がっかりした
残念だと思った　ざんねんだとおもった
決まり　きまり
規則　きそく
当然　とうぜん
もちろん　もちろん
不安だ　ふあんだ
心配だ　しんぱいだ
まったく　まったく
ぜんぜん　ぜんぜん
学んでいる　まなんでいる
勉強している　べんきょうしている
