疑う うたがう 의심하다
頭痛　ずつう 두통
違う　ちがう 다르다
飛ぶ　とぶ 날다
葉　は 잎,잎사귀
秒　びょう 초
組む　くむ 끼다
乗車　じょうしゃ 승차
成績　せいせき 성적
波　なみ 파도,물결
逃げる　にげる 도망치다,달아나다
眠る　ねむる 잠자다
速く　はやく 빨리
回す　まわす 돌리다
満足　まんぞく 만족
焼く　やく 굽다,태우다
輸出　ゆしゅつ 수출
借りる　かりる 빌리다
関心　かんしん 관심
規則　きそく 규칙
欠点　けってん 결점
原因　げんいん 원인
現在　げんざい 현재
正解　せいかい 정답
勤める　つとめる 근무하다
投げる　なげる 던지다
願う　ねがう 바라다,원하다
緑　みどり 녹색
温泉　おんせん 온천
仮定　かてい 가정
消す　けす 끄다
欠席　けっせき 결석
減少　げんしょう 감소
細かい　こまかい 잘다,작다
雑誌　ざっし 잡지
駐車　ちゅうしゃ 주차
複数　ふくすう 복수
若い　わかい 젊다
遅い　おそい 늦다
重ねる　かさねる 겹치다,포개다
疲れる　つかれる 피곤하다
貨す　かす 빌려주다
残業　ざんぎょう 잔업
信じいる　しんじる 믿다
包む　つつむ 포장하다,감싸다
停電　ていでん 정전
独身　どくしん 독신
逃げる　にげる 도망치다
倍　ばい 배
容器　ようき 용기,그릇
温める　あたためる 따뜻하게하다,데우다
記録　きろく 기록
原料　げんりょう 윈료
自信　じしん 자신
育てる　そだてる 키우다,기르다
歯　は 이,이빨
復習　ふくしゅう 복습
守る　まもる 지키다,보호하다
案内　あんない 안내
痛い　いたい 아프다
解決　かいけつ 해결
観光　かんこう 관광
気温　きおん 기온
券　けん 권,표
健康　けんこう 건강
自由　じゆう 자유
大量　たいりょう 대량
涙　なみだ 눈물
法律　ほうりつ 법률
内側　うちがわ 안쪽
追う　おう 좇다,뒤따르다
降りる　おりる 내리다
暮らす　くらす 살다,생활하다,지내다
血液　けつえき 혈액
身長　しんちょう 신장,키
正常　せいじょう 정상
成績　せいせき 성적
専門家　せんもんか 전문가
物語　ものがたり 이야기
あくび　あくび 하품
うっかり　うっかり 깜빡
あたがいに　あたがいに 서로
可能　かのう 가능
感覚　かんかく 감각
期限　きげん 기한
きちんと　きちんと 깔끔히
効果的　こうかてき 효과적
差　さ 차,차이
制限　せいげん 제한
だるい　だるい 나른하다
付き合う　つきあう 사귀다
テーマ　テーマ 테마
動作　どうさ 동작
なめる　なめる 핥다
番　ばん 차례
ヒント　ヒント 힌트
振る　ふる 흔들다
平気だ　へいきだ 괜찮다
めんどうくさい　めんどうくさい 귀찮다
追い越す　おいこす 앞지르다,추월하다
渇く　かわく 마르다
希望　きぼう 희망
キャンセル　キャンセル 취소
偶然　ぐうぜん 우연히
悔しい　くやしい 분하다
資源　しげん 자원
しみ　しみ 얼룩
親戚　しんせき 친척
ずきずき　ずきずき 욱신욱신
たたく 두드리다
登場　とうじょう 등장
どきどき　どきどき 두근두근
話し合う　はなしあう 의논하다
ぴったり　ぴったり 딱
防ぐ　ふせぐ 막다
べつべつ　べつべつ 따로따로
ほえる　ほえる 짖다
干す　ほす 말리다
迷う　まよう 망설이다
むく　むく 벗기다
レシピ　レシピ 레시피,조리법
当たる　あたる 맞다
意志　いし 의지
延期　えんき 연기
おつかれさま　おつかれさま 수고하셨습니다
かれる　かれる 시들다
訓練　くんれん 훈련
効果　こうか 효과
このあいだ　このあいだ 일전,요전
